Campaign No.,Brand category,Brand,Campaign Name,Campaign Type,Big Bet,Success KPI,Retailer,Campaign Key Features,Sub-Campaign Key Features,Big Prize,Visit,Unique Visitor,Time duration (interaction),Conversion(Users),Conversion(Times),Conversion_rate,Conversion/users,Key event,Start Date,End Date,Campaign Duration (days),Soruce Type
1,Food,Knorr,Knorr Gemini Fourth Knorr Tomyum Event Jan 2026,Lucky draw,,Form Submit,-,Celebrity,Gemini Fourth,Meet & Greet Ticket,"4,928","2,251",02:25min,273,931,12.10%,3.4,form submit,1-Jan-26,28-Feb-26,59,CMS
2,Home Care,Breeze,Breeze QuickWash x FortPeat Jan 2026,Lucky draw,,Form Submit,Tops,Celebrity,Fort Peat,Meet & Greet Ticket,"1,070",810,00:26min,30,59,3.70%,2,form submit,1-Jan-26,31-Jan-26,31,CMS
3,Personal Care,Vaseline,Vaseline x LenaMiu Raffle Jan 2026,Lucky draw,,Form Submit,"Shopee, Lazada, TikTok",Celebrity,Lena Miu,Meet & Greet Ticket,"5,854","3,855",00:46min,171,361,4.40%,2.1,form submit,1-Jan-26,23-Mar-26,82,CMS
4,Personal Care,Ponds,Pray With Ponds Jan 2026,Lucky draw,,Upload Receipt,-,Reward,Gold,Gold,"4,652",702,00:49min,72,107,10.30%,1.5,upload receipt,22-Jan-26,4-Mar-26,42,Custom
5,Personal Care,Axe,Axe Kenobi Event Jan 2026,Lucky draw,,Form Submit,11-Jul,Celebrity,Axe first-roll listening party,Event tickets,"2,633","2,412",00:03min,9,16,0.40%,1.8,form submit,24-Jan-26,23-Feb-26,31,CMS
6,Beauty & Wellbeing,Ponds,Ponds MU Wallpaper Jan 2026,Gamification,,Upload Receipt,-,Fortune teller,BIRD EYE VIEW,Horoscope Wallpaper,"1,315","1,267",02:35min,6,11,0.50%,1.8,upload receipt,24-Jan-26,23-Feb-26,31,Custom
7,Home Care,Unilever Brand Range,HC CNY x BigC ThomasKong,Lucky draw,,Upload Receipt,Big C,Celebrity,Thomas Kong,Meet & Greet Ticket,"6,148","2,044",02:33min,206,660,10.10%,3.2,upload receipt,1-Feb-26,20-Feb-26,20,Custom
8,Home Care,Unilever Brand Range,HC CNY x Makro Tle FirstOne,Lucky draw,,Upload Receipt,Makro,Celebrity,Tle Firstone,Meet & Greet Ticket,"5,675","2,881",01:30min,128,199,4.40%,1.6,upload receipt,4-Feb-26,24-Feb-26,21,CMS
9,Food,Knorr,Knorr ATLAS Giveaway Phase 1,Gamification,,Form Submit,-,Celebrity,ATLAS,Limited Sticker,249,150,01:13min,29,30,19.30%,1,form submit,9-Feb-26,3-Mar-26,23,CMS
10,Beauty & Wellbeing,Vaseline,Vaseline Tops of Beauty Phase 1,Lucky draw,,Form Submit,Tops,Celebrity,Tutor Yim,Meet & Greet Ticket,446,248,02:07min,23,40,9.30%,1.7,form submit,15-Feb-26,22-Feb-26,8,CMS
11,Personal Care,Rexona,Rexona Men X FIFA Feb 2026,Lucky draw,,Form Submit,-,Sports,FIFA World Cup 2026,World Cup tickets,-,-,-,-,-,-,-,form submit,22-Feb-26,27-Mar-26,34,CMS
12,Food,Knorr,Knorr ATLAS Giveaway Phase 2,Gamification,,Form Submit,-,Celebrity,ATLAS,Limited Sticker,,, ,,,#DIV/0!,#DIV/0!,form submit,23-Feb-26,-,-,CMS
13,Personal Care,LUX,LUX Limited Raffle Keng Feb 2026,Lucky draw,,Form Submit,11-Jul,Celebrity,Keng Harit,Meet & Greet Ticket,"9,013","3,536",04:02min,837,398,23.70%,0.5,form submit,24-Feb-26,23-Mar-26,28,CMS
14,Beauty & Wellbeing,Vaseline,Vaseline Tops of Beauty Phase 2,Lucky draw,,Form Submit,11-Jul,Celebrity,Tutor Yim,Meet & Greet Ticket,94,82,00:05min,-,-,0.00%,#DIV/0!,form submit,25-Feb-26,2-Mar-26,6,CMS
15,Home Care,Sunlight,Sunlight x Proxie Event Mar 2026,Lucky draw,,Upload Receipt,-,Celebrity,Proxie,Meet & Greet Ticket,"15,481","4,231",01:42min,694,"1,903",16.40%,2.7,upload receipt,2-Mar-26,30-Jun-26,121,Custom
16,Home Care,Sunlight,Sunlight Survey,Consumer Panel,,Form Submit,-,-,-,-,-,-,-,,,#DIV/0!,#DIV/0!,form submit,14-Mar-26,-,-,CMS
17,Unilever Brand Range,Unilever Brand Range,UPro x Line Man,Promotion,,Use coupon code,Go Wholesale,Coupon,Discount Coupon,Sunlight Discount Coupon,"1,068",830,00:11min,-,-,-,-,get coupon,18-Mar-26,14-Jun-26,89,Custom
18,Personal Care,Rexona,Rexona Fresh Fest Raffle Feb 2026,Lucky draw,,Form Submit,-,Celebrity,Rexona Fesh Fest,Event tickets,"1,871","1,154",00:41min,60,90,5.20%,1.5,form submit,26-Mar-26,30-Jun-26,97,CMS
19,Unilever Brand Range,Unilever Brand Range,UL x Lotus x Pizza Company,Gamification,,Form Submit,Lotus,Coupon,Redeem Coupon,Food - Pizza,"2,795","2,068",02:21min,"1,247","3,539",60.30%,2.8,get coupon,26-Mar-26,-,-,Custom
